@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.44, 0.365, 0.125, 0.516, 0.2155, 0.114, 0.155, 10
F, 0.53, 0.415, 0.15, 0.7775, 0.237, 0.1415, 0.33, 20
M, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, 9
M, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, 10
F, 0.535, 0.405, 0.145, 0.6845, 0.2725, 0.171, 0.205, 10
F, 0.47, 0.355, 0.1, 0.4755, 0.1675, 0.0805, 0.185, 10
M, 0.355, 0.28, 0.095, 0.2455, 0.0955, 0.062, 0.075, 11
F, 0.565, 0.44, 0.155, 0.9395, 0.4275, 0.214, 0.27, 12
F, 0.56, 0.44, 0.14, 0.9285, 0.3825, 0.188, 0.3, 11
M, 0.59, 0.445, 0.14, 0.931, 0.356, 0.234, 0.28, 12
M, 0.665, 0.525, 0.165, 1.338, 0.5515, 0.3575, 0.35, 18
F, 0.45, 0.355, 0.105, 0.5225, 0.237, 0.1165, 0.145, 8
F, 0.45, 0.335, 0.105, 0.425, 0.1865, 0.091, 0.115, 9
I, 0.24, 0.175, 0.045, 0.07, 0.0315, 0.0235, 0.02, 5
I, 0.21, 0.15, 0.05, 0.042, 0.0175, 0.0125, 0.015, 4
I, 0.39, 0.295, 0.095, 0.203, 0.0875, 0.045, 0.075, 7
M, 0.4, 0.32, 0.095, 0.303, 0.1335, 0.06, 0.1, 7
M, 0.485, 0.36, 0.13, 0.5415, 0.2595, 0.096, 0.16, 10
F, 0.47, 0.36, 0.12, 0.4775, 0.2105, 0.1055, 0.15, 10
I, 0.245, 0.19, 0.06, 0.086, 0.042, 0.014, 0.025, 4
M, 0.505, 0.405, 0.11, 0.625, 0.305, 0.16, 0.175, 9
