@relation yeast
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, MIT
0.51, 0.4, 0.56, 0.17, 0.5, 0.5, 0.49, 0.22, CYT
0.4, 0.39, 0.6, 0.15, 0.5, 0.0, 0.58, 0.3, CYT
0.42, 0.37, 0.59, 0.2, 0.5, 0.0, 0.52, 0.29, NUC
0.46, 0.44, 0.52, 0.11, 0.5, 0.0, 0.5, 0.22, CYT
0.47, 0.39, 0.5, 0.11, 0.5, 0.0, 0.49, 0.4, CYT
0.58, 0.47, 0.54, 0.11, 0.5, 0.0, 0.51, 0.26, NUC
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, CYT
0.59, 0.53, 0.43, 0.44, 0.5, 0.0, 0.5, 0.22, MIT
0.57, 0.53, 0.53, 0.34, 0.5, 0.0, 0.53, 0.22, MIT
0.64, 0.59, 0.56, 0.23, 0.5, 0.0, 0.46, 0.22, CYT
0.38, 0.49, 0.53, 0.19, 0.5, 0.0, 0.5, 0.22, CYT
0.45, 0.58, 0.48, 0.67, 0.5, 0.0, 0.52, 0.22, MIT
0.37, 0.32, 0.47, 0.18, 0.5, 0.0, 0.45, 0.25, NUC
0.6, 0.5, 0.44, 0.61, 0.5, 0.0, 0.47, 0.22, MIT
0.33, 0.43, 0.64, 0.16, 0.5, 0.0, 0.52, 0.52, NUC
0.49, 0.61, 0.49, 0.25, 0.5, 0.0, 0.5, 0.28, CYT
0.47, 0.52, 0.5, 0.4, 0.5, 0.0, 0.41, 0.22, CYT
0.47, 0.39, 0.55, 0.24, 0.5, 0.0, 0.47, 0.22, CYT
0.44, 0.59, 0.36, 0.16, 0.5, 0.0, 0.52, 0.22, ME3
0.45, 0.45, 0.5, 0.6, 0.5, 0.0, 0.49, 0.22, MIT
0.47, 0.41, 0.66, 0.26, 0.5, 0.0, 0.53, 0.22, MIT
0.53, 0.51, 0.55, 0.05, 0.5, 0.0, 0.45, 0.25, NUC
0.29, 0.32, 0.58, 0.15, 0.5, 0.0, 0.5, 0.3, CYT
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, CYT
0.42, 0.51, 0.5, 0.12, 0.5, 0.0, 0.52, 0.46, NUC
0.57, 0.51, 0.53, 0.18, 0.5, 0.0, 0.56, 0.25, NUC
0.49, 0.31, 0.49, 0.35, 0.5, 0.0, 0.51, 0.29, NUC
0.37, 0.58, 0.44, 0.51, 0.5, 0.0, 0.44, 0.22, MIT
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, CYT
0.52, 0.4, 0.6, 0.12, 0.5, 0.0, 0.55, 0.22, CYT
0.57, 0.41, 0.59, 0.24, 0.5, 0.0, 0.4, 0.22, CYT
0.58, 0.56, 0.45, 0.12, 0.5, 0.0, 0.51, 0.22, NUC
0.31, 0.46, 0.54, 0.52, 0.5, 0.0, 0.5, 0.34, NUC
0.38, 0.51, 0.75, 0.17, 0.5, 0.0, 0.55, 0.22, CYT
0.44, 0.68, 0.45, 0.51, 0.5, 0.0, 0.52, 0.41, MIT
0.55, 0.42, 0.34, 0.3, 0.5, 0.0, 0.52, 0.22, ME3
0.36, 0.68, 0.38, 0.08, 0.5, 0.0, 0.53, 0.25, VAC
0.43, 0.39, 0.54, 0.14, 0.5, 0.0, 0.47, 0.22, NUC
0.54, 0.42, 0.41, 0.16, 0.5, 0.0, 0.52, 0.22, ME2
0.37, 0.53, 0.46, 0.23, 0.5, 0.0, 0.47, 0.22, NUC
0.58, 0.6, 0.43, 0.12, 0.5, 0.0, 0.55, 0.22, ME3
0.54, 0.65, 0.49, 0.34, 0.5, 0.0, 0.52, 0.22, CYT
0.58, 0.53, 0.38, 0.18, 0.5, 0.0, 0.52, 0.22, ME3
0.35, 0.6, 0.47, 0.13, 0.5, 0.0, 0.52, 0.43, NUC
0.35, 0.46, 0.49, 0.15, 1.0, 0.0, 0.55, 0.35, CYT
0.63, 0.62, 0.42, 0.12, 0.5, 0.0, 0.52, 0.25, CYT
0.71, 0.59, 0.53, 0.15, 0.5, 0.0, 0.49, 0.33, CYT
0.46, 0.35, 0.33, 0.17, 0.5, 0.0, 0.55, 0.22, ME3
0.35, 0.56, 0.36, 0.3, 0.5, 0.0, 0.53, 0.25, ME3
0.51, 0.58, 0.54, 0.29, 0.5, 0.0, 0.53, 0.22, CYT
0.44, 0.51, 0.37, 0.15, 0.5, 0.0, 0.51, 0.22, ME3
0.42, 0.39, 0.47, 0.13, 0.5, 0.0, 0.5, 0.27, CYT
0.17, 0.38, 0.45, 0.09, 0.5, 0.0, 0.54, 0.27, NUC
0.48, 0.39, 0.49, 0.18, 0.5, 0.0, 0.51, 0.22, CYT
0.74, 0.53, 0.5, 0.08, 0.5, 0.0, 0.55, 0.31, CYT
0.69, 0.48, 0.38, 0.15, 0.5, 0.0, 0.55, 0.22, ME2
0.3, 0.5, 0.47, 0.11, 0.5, 0.0, 0.46, 0.22, CYT
0.4, 0.48, 0.5, 0.17, 0.5, 0.0, 0.54, 0.5, CYT
0.47, 0.49, 0.63, 0.17, 0.5, 0.0, 0.31, 0.26, NUC
0.53, 0.43, 0.47, 0.15, 0.5, 0.0, 0.58, 0.22, CYT
0.46, 0.45, 0.56, 0.16, 0.5, 0.0, 0.56, 0.22, CYT
0.5, 0.45, 0.49, 0.15, 0.5, 0.0, 0.55, 0.43, NUC
0.33, 0.28, 0.31, 0.24, 0.5, 0.0, 0.53, 0.22, ME3
0.61, 0.54, 0.49, 0.19, 0.5, 0.0, 0.54, 0.47, CYT
0.51, 0.68, 0.49, 0.59, 0.5, 0.0, 0.54, 0.27, MIT
0.55, 0.49, 0.5, 0.46, 0.5, 0.0, 0.52, 0.25, MIT
0.5, 0.46, 0.52, 0.16, 0.5, 0.0, 0.52, 0.26, CYT
0.35, 0.49, 0.47, 0.22, 0.5, 0.0, 0.5, 0.28, MIT
0.43, 0.51, 0.6, 0.25, 0.5, 0.0, 0.55, 0.22, CYT
0.68, 0.5, 0.43, 0.27, 0.5, 0.0, 0.61, 0.22, ME2
0.59, 0.53, 0.47, 0.26, 0.5, 0.0, 0.53, 0.31, NUC
0.54, 0.51, 0.54, 0.52, 0.5, 0.0, 0.47, 0.25, MIT
0.86, 0.92, 0.5, 0.37, 1.0, 0.0, 0.53, 0.32, ERL
0.42, 0.51, 0.39, 0.22, 0.5, 0.0, 0.49, 0.26, ME3
0.51, 0.43, 0.47, 0.19, 0.5, 0.0, 0.52, 0.37, CYT
0.44, 0.53, 0.43, 0.17, 0.5, 0.0, 0.54, 0.75, NUC
0.39, 0.37, 0.33, 0.23, 0.5, 0.0, 0.53, 0.26, ME3
0.48, 0.51, 0.57, 0.24, 0.5, 0.0, 0.5, 0.22, CYT
0.68, 0.58, 0.51, 0.19, 0.5, 0.83, 0.54, 0.22, POX
0.51, 0.47, 0.41, 0.44, 0.5, 0.0, 0.5, 0.22, ME3
0.49, 0.44, 0.45, 0.22, 0.5, 0.0, 0.51, 0.22, CYT
0.46, 0.57, 0.52, 0.28, 0.5, 0.0, 0.52, 0.22, NUC
0.53, 0.48, 0.45, 0.44, 0.5, 0.0, 0.49, 0.27, MIT
0.7, 0.53, 0.42, 0.22, 0.5, 0.0, 0.51, 0.28, NUC
0.68, 0.68, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, EXC
0.47, 0.6, 0.35, 0.21, 0.5, 0.0, 0.52, 0.22, ME3
0.55, 0.49, 0.45, 0.18, 0.5, 0.0, 0.49, 0.22, NUC
0.4, 0.47, 0.48, 0.18, 0.5, 0.0, 0.46, 0.22, CYT
0.8, 0.81, 0.55, 0.35, 0.5, 0.0, 0.42, 0.22, EXC
0.48, 0.47, 0.54, 0.55, 0.5, 0.0, 0.51, 0.65, MIT
0.66, 0.66, 0.32, 0.54, 0.5, 0.0, 0.51, 0.22, ME2
0.58, 0.46, 0.46, 0.34, 0.5, 0.0, 0.5, 0.43, NUC
0.6, 0.62, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, MIT
0.52, 0.5, 0.59, 0.31, 0.5, 0.0, 0.5, 0.22, MIT
0.45, 0.38, 0.64, 0.14, 0.5, 0.0, 0.54, 0.22, MIT
0.6, 0.57, 0.64, 0.52, 0.5, 0.0, 0.47, 0.28, MIT
0.57, 0.61, 0.55, 0.27, 0.5, 0.0, 0.44, 0.21, MIT
0.38, 0.54, 0.54, 0.41, 0.5, 0.0, 0.51, 0.22, MIT
0.43, 0.32, 0.5, 0.29, 0.5, 0.0, 0.5, 0.22, MIT
0.32, 0.45, 0.44, 0.2, 0.5, 0.0, 0.55, 0.33, NUC
0.51, 0.6, 0.51, 0.26, 0.5, 0.0, 0.54, 0.22, NUC
0.49, 0.46, 0.42, 0.46, 0.5, 0.0, 0.55, 0.22, NUC
0.51, 0.56, 0.62, 0.24, 0.5, 0.0, 0.52, 0.51, NUC
0.58, 0.57, 0.54, 0.69, 0.5, 0.0, 0.54, 0.22, MIT
0.55, 0.53, 0.54, 0.4, 0.5, 0.0, 0.48, 0.22, MIT
0.41, 0.47, 0.58, 0.62, 0.5, 0.0, 0.5, 0.22, MIT
0.44, 0.53, 0.53, 0.37, 0.5, 0.0, 0.51, 0.22, MIT
0.47, 0.46, 0.55, 0.28, 0.5, 0.0, 0.44, 0.46, NUC
0.41, 0.59, 0.46, 0.19, 0.5, 0.0, 0.36, 0.22, EXC
0.44, 0.41, 0.29, 0.21, 0.5, 0.0, 0.49, 0.22, ME3
0.51, 0.46, 0.54, 0.41, 0.5, 0.0, 0.53, 0.22, MIT
0.5, 0.36, 0.53, 0.41, 0.5, 0.0, 0.55, 0.36, CYT
0.59, 0.58, 0.39, 0.52, 0.5, 0.0, 0.5, 0.31, CYT
0.78, 0.63, 0.53, 0.13, 0.5, 0.0, 0.54, 0.22, ME2
0.48, 0.62, 0.52, 0.3, 0.5, 0.0, 0.51, 0.37, NUC
0.39, 0.34, 0.68, 0.3, 0.5, 0.0, 0.5, 0.29, NUC
0.4, 0.53, 0.44, 0.18, 0.5, 0.0, 0.54, 0.31, NUC
0.36, 0.3, 0.5, 0.19, 0.5, 0.0, 0.55, 0.3, NUC
0.45, 0.21, 0.49, 0.24, 0.5, 0.0, 0.46, 0.31, NUC
0.87, 0.47, 0.6, 0.47, 0.5, 0.0, 0.59, 0.22, NUC
0.51, 0.34, 0.49, 0.16, 0.5, 0.0, 0.53, 0.21, NUC
0.78, 0.65, 0.4, 0.16, 0.5, 0.0, 0.63, 0.22, MIT
0.68, 0.59, 0.44, 0.49, 0.5, 0.0, 0.4, 0.26, POX
0.5, 0.51, 0.57, 0.27, 0.5, 0.0, 0.48, 0.22, POX
0.51, 0.46, 0.57, 0.25, 0.5, 0.0, 0.53, 0.22, CYT
0.49, 0.45, 0.46, 0.18, 0.5, 0.0, 0.49, 0.31, CYT
0.39, 0.58, 0.5, 0.1, 0.5, 0.0, 0.51, 0.25, CYT
0.45, 0.58, 0.59, 0.44, 0.5, 0.0, 0.56, 0.22, MIT
0.46, 0.49, 0.45, 0.28, 0.5, 0.0, 0.55, 0.22, VAC
0.5, 0.32, 0.49, 0.49, 0.5, 0.0, 0.48, 0.32, MIT
0.48, 0.45, 0.59, 0.35, 0.5, 0.0, 0.55, 0.3, MIT
0.48, 0.52, 0.49, 0.35, 0.5, 0.5, 0.51, 0.22, MIT
0.45, 0.41, 0.49, 0.14, 1.0, 0.0, 0.53, 0.3, CYT
0.28, 0.36, 0.55, 0.15, 0.5, 0.0, 0.57, 0.22, CYT
0.74, 0.72, 0.5, 0.28, 0.5, 0.0, 0.5, 0.27, EXC
0.59, 0.61, 0.51, 0.62, 0.5, 0.0, 0.51, 0.38, MIT
0.78, 0.69, 0.44, 0.26, 0.5, 0.0, 0.54, 0.22, ME1
0.95, 0.71, 0.27, 0.39, 0.5, 0.0, 0.31, 0.22, ME2
0.39, 0.49, 0.3, 0.19, 0.5, 0.0, 0.52, 0.31, ME3
0.49, 0.48, 0.52, 0.2, 0.5, 0.0, 0.55, 0.22, NUC
0.54, 0.53, 0.48, 0.14, 0.5, 0.0, 0.49, 0.33, NUC
0.45, 0.47, 0.53, 0.15, 0.5, 0.0, 0.52, 0.27, CYT
0.46, 0.62, 0.54, 0.25, 0.5, 0.0, 0.46, 0.22, CYT
0.52, 0.46, 0.56, 0.2, 0.5, 0.0, 0.5, 0.22, CYT
0.45, 0.48, 0.56, 0.56, 0.5, 0.0, 0.47, 0.22, NUC
0.48, 0.41, 0.54, 0.39, 0.5, 0.0, 0.51, 0.22, NUC
0.34, 0.35, 0.58, 0.2, 0.5, 0.0, 0.46, 0.32, NUC
0.37, 0.44, 0.51, 0.56, 0.5, 0.0, 0.5, 0.38, NUC
0.48, 0.5, 0.56, 0.11, 0.5, 0.0, 0.33, 0.22, CYT
0.49, 0.45, 0.54, 0.4, 0.5, 0.0, 0.55, 0.22, MIT
0.57, 0.6, 0.54, 0.17, 0.5, 0.0, 0.52, 0.22, MIT
0.33, 0.28, 0.52, 0.15, 0.5, 0.0, 0.51, 0.86, NUC
0.43, 0.41, 0.51, 0.34, 0.5, 0.0, 0.49, 0.28, NUC
0.49, 0.49, 0.51, 0.29, 0.5, 0.0, 0.52, 0.71, NUC
0.41, 0.52, 0.51, 0.22, 0.5, 0.0, 0.52, 0.44, NUC
0.58, 0.31, 0.6, 0.12, 0.5, 0.0, 0.47, 0.33, NUC
0.44, 0.33, 0.55, 0.16, 0.5, 0.0, 0.49, 0.22, NUC
0.57, 0.51, 0.58, 0.22, 0.5, 0.0, 0.51, 0.22, NUC
0.34, 0.58, 0.5, 0.26, 0.5, 0.0, 0.51, 0.22, NUC
0.35, 0.4, 0.44, 0.25, 0.5, 0.0, 0.53, 0.57, NUC
0.55, 0.38, 0.64, 0.42, 0.5, 0.0, 0.47, 0.22, MIT
0.45, 0.49, 0.57, 0.25, 0.5, 0.0, 0.48, 0.22, NUC
0.39, 0.39, 0.59, 0.25, 0.5, 0.0, 0.45, 0.22, CYT
0.61, 0.38, 0.57, 0.36, 0.5, 0.0, 0.44, 0.21, CYT
0.43, 0.33, 0.54, 0.37, 0.5, 0.0, 0.38, 0.16, CYT
0.72, 0.51, 0.52, 0.08, 0.5, 0.0, 0.54, 0.22, NUC
0.57, 0.49, 0.61, 0.26, 0.5, 0.0, 0.52, 0.22, NUC
0.36, 0.49, 0.55, 0.21, 0.5, 0.0, 0.55, 0.33, NUC
0.35, 0.33, 0.48, 0.42, 0.5, 0.0, 0.47, 0.43, CYT
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, CYT
0.58, 0.45, 0.55, 0.27, 0.5, 0.0, 0.48, 0.11, CYT
0.43, 0.33, 0.67, 0.12, 0.5, 0.0, 0.43, 0.23, CYT
0.58, 0.44, 0.5, 0.26, 0.5, 0.0, 0.52, 0.22, CYT
0.4, 0.45, 0.61, 0.29, 0.5, 0.0, 0.44, 0.22, CYT
0.35, 0.39, 0.56, 0.2, 0.5, 0.0, 0.49, 0.41, CYT
0.44, 0.62, 0.53, 0.27, 0.5, 0.0, 0.49, 0.22, NUC
